./checkpoint.pth.tar
Loading checkpoint for epoch 00025 with error 4.51077...
Loading iTracker dataset...
	Reading metadata from ./metadata.mat...
	Reading metadata from ../models/mean_images/mean_face_224.mat...
	Reading metadata from ../models/mean_images/mean_left_224.mat...
	Reading metadata from ../models/mean_images/mean_right_224.mat...
Loaded iTracker dataset split "train" with 10298 records...
Loading iTracker dataset...
	Reading metadata from ./metadata.mat...
	Reading metadata from ../models/mean_images/mean_face_224.mat...
	Reading metadata from ../models/mean_images/mean_left_224.mat...
	Reading metadata from ../models/mean_images/mean_right_224.mat...
Loaded iTracker dataset split "test" with 1926 records...
Epoch (train): [24][0/103]	Time 20.333 (20.333)	Data 5.329 (5.329)	Loss 293.0282 (293.0282)	
Epoch (train): [24][1/103]	Time 14.908 (17.620)	Data 0.001 (2.665)	Loss 273.2339 (283.1310)	
Epoch (train): [24][2/103]	Time 14.344 (16.528)	Data 0.000 (1.777)	Loss 309.8051 (292.0224)	
Epoch (train): [24][3/103]	Time 14.819 (16.101)	Data 0.000 (1.332)	Loss 297.4264 (293.3734)	
Epoch (train): [24][4/103]	Time 14.808 (15.842)	Data 0.000 (1.066)	Loss 313.2012 (297.3390)	
Epoch (train): [24][5/103]	Time 14.702 (15.652)	Data 0.000 (0.888)	Loss 321.1042 (301.2998)	
Epoch (train): [24][6/103]	Time 14.923 (15.548)	Data 0.000 (0.762)	Loss 309.3901 (302.4556)	
Epoch (train): [24][7/103]	Time 14.750 (15.448)	Data 0.000 (0.666)	Loss 328.5280 (305.7147)	
Epoch (train): [24][8/103]	Time 14.834 (15.380)	Data 0.000 (0.592)	Loss 358.9695 (311.6318)	
Epoch (train): [24][9/103]	Time 15.215 (15.363)	Data 0.000 (0.533)	Loss 331.7956 (313.6482)	
Epoch (train): [24][10/103]	Time 14.167 (15.255)	Data 0.001 (0.485)	Loss 353.9231 (317.3096)	
Epoch (train): [24][11/103]	Time 14.724 (15.210)	Data 0.000 (0.444)	Loss 351.2961 (320.1418)	
Epoch (train): [24][12/103]	Time 14.372 (15.146)	Data 0.000 (0.410)	Loss 359.3668 (323.1591)	
Epoch (train): [24][13/103]	Time 15.103 (15.143)	Data 0.000 (0.381)	Loss 380.5376 (327.2575)	
Epoch (train): [24][14/103]	Time 15.291 (15.153)	Data 0.000 (0.356)	Loss 384.1996 (331.0537)	
Epoch (train): [24][15/103]	Time 15.335 (15.164)	Data 0.000 (0.333)	Loss 387.3750 (334.5738)	
Epoch (train): [24][16/103]	Time 14.832 (15.145)	Data 0.000 (0.314)	Loss 399.7080 (338.4052)	
Epoch (train): [24][17/103]	Time 14.700 (15.120)	Data 0.000 (0.296)	Loss 398.7263 (341.7563)	
Epoch (train): [24][18/103]	Time 14.891 (15.108)	Data 0.000 (0.281)	Loss 420.7763 (345.9153)	
Epoch (train): [24][19/103]	Time 15.016 (15.103)	Data 0.000 (0.267)	Loss 461.1041 (351.6747)	
Epoch (train): [24][20/103]	Time 14.552 (15.077)	Data 0.000 (0.254)	Loss 465.0265 (357.0724)	
Epoch (train): [24][21/103]	Time 14.762 (15.063)	Data 0.000 (0.243)	Loss 475.8692 (362.4723)	
Epoch (train): [24][22/103]	Time 15.346 (15.075)	Data 0.000 (0.232)	Loss 481.0585 (367.6282)	
Epoch (train): [24][23/103]	Time 15.090 (15.076)	Data 0.000 (0.222)	Loss 525.6635 (374.2130)	
Epoch (train): [24][24/103]	Time 14.615 (15.057)	Data 0.000 (0.213)	Loss 548.4095 (381.1809)	
Epoch (train): [24][25/103]	Time 14.974 (15.054)	Data 0.000 (0.205)	Loss 541.8277 (387.3596)	
Epoch (train): [24][26/103]	Time 14.123 (15.020)	Data 0.000 (0.198)	Loss 579.5361 (394.4772)	
Epoch (train): [24][27/103]	Time 15.129 (15.023)	Data 0.001 (0.191)	Loss 591.5844 (401.5168)	
Epoch (train): [24][28/103]	Time 14.836 (15.017)	Data 0.000 (0.184)	Loss 595.8010 (408.2162)	
Epoch (train): [24][29/103]	Time 14.915 (15.014)	Data 0.000 (0.178)	Loss 620.0300 (415.2767)	
Epoch (train): [24][30/103]	Time 14.465 (14.996)	Data 0.000 (0.172)	Loss 646.3087 (422.7293)	
Epoch (train): [24][31/103]	Time 15.250 (15.004)	Data 0.000 (0.167)	Loss 652.6263 (429.9136)	
Epoch (train): [24][32/103]	Time 14.746 (14.996)	Data 0.000 (0.162)	Loss 673.3143 (437.2894)	
Epoch (train): [24][33/103]	Time 14.252 (14.974)	Data 0.000 (0.157)	Loss 714.1422 (445.4321)	
Epoch (train): [24][34/103]	Time 15.292 (14.983)	Data 0.000 (0.153)	Loss 701.4208 (452.7461)	
Epoch (train): [24][35/103]	Time 14.912 (14.981)	Data 0.000 (0.148)	Loss 746.0915 (460.8946)	
Epoch (train): [24][36/103]	Time 14.945 (14.980)	Data 0.000 (0.144)	Loss 745.3170 (468.5817)	
